s,bin,real,imag
0,000000,-63.0,0.0
1,000001,-61.0,0.0
2,000010,-59.0,0.0
3,000011,-57.0,0.0
4,000100,-55.0,0.0
5,000101,-53.0,0.0
6,000110,-51.0,0.0
7,000111,-49.0,0.0
8,001000,-47.0,0.0
9,001001,-45.0,0.0
10,001010,-43.0,0.0
11,001011,-41.0,0.0
12,001100,-39.0,0.0
13,001101,-37.0,0.0
14,001110,-35.0,0.0
15,001111,-33.0,0.0
16,010000,-31.0,0.0
17,010001,-29.0,0.0
18,010010,-27.0,0.0
19,010011,-25.0,0.0
20,010100,-23.0,0.0
21,010101,-21.0,0.0
22,010110,-19.0,0.0
23,010111,-17.0,0.0
24,011000,-15.0,0.0
25,011001,-13.0,0.0
26,011010,-11.0,0.0
27,011011,-9.0,0.0
28,011100,-7.0,0.0
29,011101,-5.0,0.0
30,011110,-3.0,0.0
31,011111,-1.0,0.0
32,100000,1.0,0.0
33,100001,3.0,0.0
34,100010,5.0,0.0
35,100011,7.0,0.0
36,100100,9.0,0.0
37,100101,11.0,0.0
38,100110,13.0,0.0
39,100111,15.0,0.0
40,101000,17.0,0.0
41,101001,19.0,0.0
42,101010,21.0,0.0
43,101011,23.0,0.0
44,101100,25.0,0.0
45,101101,27.0,0.0
46,101110,29.0,0.0
47,101111,31.0,0.0
48,110000,33.0,0.0
49,110001,35.0,0.0
50,110010,37.0,0.0
51,110011,39.0,0.0
52,110100,41.0,0.0
53,110101,43.0,0.0
54,110110,45.0,0.0
55,110111,47.0,0.0
56,111000,49.0,0.0
57,111001,51.0,0.0
58,111010,53.0,0.0
59,111011,55.0,0.0
60,111100,57.0,0.0
61,111101,59.0,0.0
62,111110,61.0,0.0
63,111111,63.0,0.0
