s,real,imag
0,-255.0,0.0
1,-253.0,0.0
2,-249.0,0.0
3,-251.0,0.0
4,-241.0,0.0
5,-243.0,0.0
6,-247.0,0.0
7,-245.0,0.0
8,-225.0,0.0
9,-227.0,0.0
10,-231.0,0.0
11,-229.0,0.0
12,-239.0,0.0
13,-237.0,0.0
14,-233.0,0.0
15,-235.0,0.0
16,-193.0,0.0
17,-195.0,0.0
18,-199.0,0.0
19,-197.0,0.0
20,-207.0,0.0
21,-205.0,0.0
22,-201.0,0.0
23,-203.0,0.0
24,-223.0,0.0
25,-221.0,0.0
26,-217.0,0.0
27,-219.0,0.0
28,-209.0,0.0
29,-211.0,0.0
30,-215.0,0.0
31,-213.0,0.0
32,-129.0,0.0
33,-131.0,0.0
34,-135.0,0.0
35,-133.0,0.0
36,-143.0,0.0
37,-141.0,0.0
38,-137.0,0.0
39,-139.0,0.0
40,-159.0,0.0
41,-157.0,0.0
42,-153.0,0.0
43,-155.0,0.0
44,-145.0,0.0
45,-147.0,0.0
46,-151.0,0.0
47,-149.0,0.0
48,-191.0,0.0
49,-189.0,0.0
50,-185.0,0.0
51,-187.0,0.0
52,-177.0,0.0
53,-179.0,0.0
54,-183.0,0.0
55,-181.0,0.0
56,-161.0,0.0
57,-163.0,0.0
58,-167.0,0.0
59,-165.0,0.0
60,-175.0,0.0
61,-173.0,0.0
62,-169.0,0.0
63,-171.0,0.0
64,-1.0,0.0
65,-3.0,0.0
66,-7.0,0.0
67,-5.0,0.0
68,-15.0,0.0
69,-13.0,0.0
70,-9.0,0.0
71,-11.0,0.0
72,-31.0,0.0
73,-29.0,0.0
74,-25.0,0.0
75,-27.0,0.0
76,-17.0,0.0
77,-19.0,0.0
78,-23.0,0.0
79,-21.0,0.0
80,-63.0,0.0
81,-61.0,0.0
82,-57.0,0.0
83,-59.0,0.0
84,-49.0,0.0
85,-51.0,0.0
86,-55.0,0.0
87,-53.0,0.0
88,-33.0,0.0
89,-35.0,0.0
90,-39.0,0.0
91,-37.0,0.0
92,-47.0,0.0
93,-45.0,0.0
94,-41.0,0.0
95,-43.0,0.0
96,-127.0,0.0
97,-125.0,0.0
98,-121.0,0.0
99,-123.0,0.0
100,-113.0,0.0
101,-115.0,0.0
102,-119.0,0.0
103,-117.0,0.0
104,-97.0,0.0
105,-99.0,0.0
106,-103.0,0.0
107,-101.0,0.0
108,-111.0,0.0
109,-109.0,0.0
110,-105.0,0.0
111,-107.0,0.0
112,-65.0,0.0
113,-67.0,0.0
114,-71.0,0.0
115,-69.0,0.0
116,-79.0,0.0
117,-77.0,0.0
118,-73.0,0.0
119,-75.0,0.0
120,-95.0,0.0
121,-93.0,0.0
122,-89.0,0.0
123,-91.0,0.0
124,-81.0,0.0
125,-83.0,0.0
126,-87.0,0.0
127,-85.0,0.0
128,255.0,0.0
129,253.0,0.0
130,249.0,0.0
131,251.0,0.0
132,241.0,0.0
133,243.0,0.0
134,247.0,0.0
135,245.0,0.0
136,225.0,0.0
137,227.0,0.0
138,231.0,0.0
139,229.0,0.0
140,239.0,0.0
141,237.0,0.0
142,233.0,0.0
143,235.0,0.0
144,193.0,0.0
145,195.0,0.0
146,199.0,0.0
147,197.0,0.0
148,207.0,0.0
149,205.0,0.0
150,201.0,0.0
151,203.0,0.0
152,223.0,0.0
153,221.0,0.0
154,217.0,0.0
155,219.0,0.0
156,209.0,0.0
157,211.0,0.0
158,215.0,0.0
159,213.0,0.0
160,129.0,0.0
161,131.0,0.0
162,135.0,0.0
163,133.0,0.0
164,143.0,0.0
165,141.0,0.0
166,137.0,0.0
167,139.0,0.0
168,159.0,0.0
169,157.0,0.0
170,153.0,0.0
171,155.0,0.0
172,145.0,0.0
173,147.0,0.0
174,151.0,0.0
175,149.0,0.0
176,191.0,0.0
177,189.0,0.0
178,185.0,0.0
179,187.0,0.0
180,177.0,0.0
181,179.0,0.0
182,183.0,0.0
183,181.0,0.0
184,161.0,0.0
185,163.0,0.0
186,167.0,0.0
187,165.0,0.0
188,175.0,0.0
189,173.0,0.0
190,169.0,0.0
191,171.0,0.0
192,1.0,0.0
193,3.0,0.0
194,7.0,0.0
195,5.0,0.0
196,15.0,0.0
197,13.0,0.0
198,9.0,0.0
199,11.0,0.0
200,31.0,0.0
201,29.0,0.0
202,25.0,0.0
203,27.0,0.0
204,17.0,0.0
205,19.0,0.0
206,23.0,0.0
207,21.0,0.0
208,63.0,0.0
209,61.0,0.0
210,57.0,0.0
211,59.0,0.0
212,49.0,0.0
213,51.0,0.0
214,55.0,0.0
215,53.0,0.0
216,33.0,0.0
217,35.0,0.0
218,39.0,0.0
219,37.0,0.0
220,47.0,0.0
221,45.0,0.0
222,41.0,0.0
223,43.0,0.0
224,127.0,0.0
225,125.0,0.0
226,121.0,0.0
227,123.0,0.0
228,113.0,0.0
229,115.0,0.0
230,119.0,0.0
231,117.0,0.0
232,97.0,0.0
233,99.0,0.0
234,103.0,0.0
235,101.0,0.0
236,111.0,0.0
237,109.0,0.0
238,105.0,0.0
239,107.0,0.0
240,65.0,0.0
241,67.0,0.0
242,71.0,0.0
243,69.0,0.0
244,79.0,0.0
245,77.0,0.0
246,73.0,0.0
247,75.0,0.0
248,95.0,0.0
249,93.0,0.0
250,89.0,0.0
251,91.0,0.0
252,81.0,0.0
253,83.0,0.0
254,87.0,0.0
255,85.0,0.0
