s,real,imag
0,1.0,0.0
1,0.998795,0.049068
2,0.989177,0.14673
3,0.995185,0.098017
4,0.941544,0.33689
5,0.95694,0.290285
6,0.980785,0.19509
7,0.970031,0.24298
8,0.740951,0.671559
9,0.77301,0.634393
10,0.83147,0.55557
11,0.803208,0.595699
12,0.92388,0.382683
13,0.903989,0.427555
14,0.857729,0.514103
15,0.881921,0.471397
16,0.049068,0.998795
17,0.098017,0.995185
18,0.19509,0.980785
19,0.14673,0.989177
20,0.382683,0.92388
21,0.33689,0.941544
22,0.24298,0.970031
23,0.290285,0.95694
24,0.707107,0.707107
25,0.671559,0.740951
26,0.595699,0.803208
27,0.634393,0.77301
28,0.427555,0.903989
29,0.471397,0.881921
30,0.55557,0.83147
31,0.514103,0.857729
32,-0.998795,0.049068
33,-0.995185,0.098017
34,-0.980785,0.19509
35,-0.989177,0.14673
36,-0.92388,0.382683
37,-0.941544,0.33689
38,-0.970031,0.24298
39,-0.95694,0.290285
40,-0.707107,0.707107
41,-0.740951,0.671559
42,-0.803208,0.595699
43,-0.77301,0.634393
44,-0.903989,0.427555
45,-0.881921,0.471397
46,-0.83147,0.55557
47,-0.857729,0.514103
48,0.0,1.0
49,-0.049068,0.998795
50,-0.14673,0.989177
51,-0.098017,0.995185
52,-0.33689,0.941544
53,-0.290285,0.95694
54,-0.19509,0.980785
55,-0.24298,0.970031
56,-0.671559,0.740951
57,-0.634393,0.77301
58,-0.55557,0.83147
59,-0.595699,0.803208
60,-0.382683,0.92388
61,-0.427555,0.903989
62,-0.514103,0.857729
63,-0.471397,0.881921
64,0.998795,-0.049068
65,0.995185,-0.098017
66,0.980785,-0.19509
67,0.989177,-0.14673
68,0.92388,-0.382683
69,0.941544,-0.33689
70,0.970031,-0.24298
71,0.95694,-0.290285
72,0.707107,-0.707107
73,0.740951,-0.671559
74,0.803208,-0.595699
75,0.77301,-0.634393
76,0.903989,-0.427555
77,0.881921,-0.471397
78,0.83147,-0.55557
79,0.857729,-0.514103
80,-0.0,-1.0
81,0.049068,-0.998795
82,0.14673,-0.989177
83,0.098017,-0.995185
84,0.33689,-0.941544
85,0.290285,-0.95694
86,0.19509,-0.980785
87,0.24298,-0.970031
88,0.671559,-0.740951
89,0.634393,-0.77301
90,0.55557,-0.83147
91,0.595699,-0.803208
92,0.382683,-0.92388
93,0.427555,-0.903989
94,0.514103,-0.857729
95,0.471397,-0.881921
96,-1.0,0.0
97,-0.998795,-0.049068
98,-0.989177,-0.14673
99,-0.995185,-0.098017
100,-0.941544,-0.33689
101,-0.95694,-0.290285
102,-0.980785,-0.19509
103,-0.970031,-0.24298
104,-0.740951,-0.671559
105,-0.77301,-0.634393
106,-0.83147,-0.55557
107,-0.803208,-0.595699
108,-0.92388,-0.382683
109,-0.903989,-0.427555
110,-0.857729,-0.514103
111,-0.881921,-0.471397
112,-0.049068,-0.998795
113,-0.098017,-0.995185
114,-0.19509,-0.980785
115,-0.14673,-0.989177
116,-0.382683,-0.92388
117,-0.33689,-0.941544
118,-0.24298,-0.970031
119,-0.290285,-0.95694
120,-0.707107,-0.707107
121,-0.671559,-0.740951
122,-0.595699,-0.803208
123,-0.634393,-0.77301
124,-0.427555,-0.903989
125,-0.471397,-0.881921
126,-0.55557,-0.83147
127,-0.514103,-0.857729
