s,bin,real,imag
211,11010011,11.0,9.0
212,11010100,11.0,7.0
213,11010101,11.0,5.0
214,11010110,11.0,3.0
215,11010111,11.0,1.0
216,11011000,11.0,-1.0
217,11011001,11.0,-3.0
218,11011010,11.0,-5.0
219,11011011,11.0,-7.0
220,11011100,11.0,-9.0
221,11011101,11.0,-11.0
222,11011110,11.0,-13.0
223,11011111,11.0,-15.0
224,11100000,13.0,15.0
225,11100001,13.0,13.0
226,11100010,13.0,11.0
227,11100011,13.0,9.0
228,11100100,13.0,7.0
229,11100101,13.0,5.0
230,11100110,13.0,3.0
231,11100111,13.0,1.0
232,11101000,13.0,-1.0
233,11101001,13.0,-3.0
234,11101010,13.0,-5.0
235,11101011,13.0,-7.0
236,11101100,13.0,-9.0
237,11101101,13.0,-11.0
238,11101110,13.0,-13.0
239,11101111,13.0,-15.0
240,11110000,15.0,15.0
241,11110001,15.0,13.0
242,11110010,15.0,11.0
243,11110011,15.0,9.0
244,11110100,15.0,7.0
245,11110101,15.0,5.0
246,11110110,15.0,3.0
247,11110111,15.0,1.0
248,11111000,15.0,-1.0
249,11111001,15.0,-3.0
250,11111010,15.0,-5.0
251,11111011,15.0,-7.0
252,11111100,15.0,-9.0
253,11111101,15.0,-11.0
254,11111110,15.0,-13.0
255,11111111,15.0,-15.0
