s,bin,real,imag
0,00000,1.0,0.0
1,00001,0.980785,0.19509
2,00010,0.92388,0.382683
3,00011,0.83147,0.55557
4,00100,0.707107,0.707107
5,00101,0.55557,0.83147
6,00110,0.382683,0.92388
7,00111,0.19509,0.980785
8,01000,0.0,1.0
9,01001,-0.19509,0.980785
10,01010,-0.382683,0.92388
11,01011,-0.55557,0.83147
12,01100,-0.707107,0.707107
13,01101,-0.83147,0.55557
14,01110,-0.92388,0.382683
15,01111,-0.980785,0.19509
16,10000,-1.0,0.0
17,10001,-0.980785,-0.19509
18,10010,-0.92388,-0.382683
19,10011,-0.83147,-0.55557
20,10100,-0.707107,-0.707107
21,10101,-0.55557,-0.83147
22,10110,-0.382683,-0.92388
23,10111,-0.19509,-0.980785
24,11000,-0.0,-1.0
25,11001,0.19509,-0.980785
26,11010,0.382683,-0.92388
27,11011,0.55557,-0.83147
28,11100,0.707107,-0.707107
29,11101,0.83147,-0.55557
30,11110,0.92388,-0.382683
31,11111,0.980785,-0.19509
