s,bin,real,imag
0,00000,-3.0,5.0
1,00001,-1.0,5.0
2,00010,-1.0,-5.0
3,00011,-3.0,-5.0
4,00100,-5.0,3.0
5,00101,-5.0,1.0
6,00110,-5.0,-1.0
7,00111,-5.0,-3.0
8,01000,-3.0,3.0
9,01001,-3.0,1.0
10,01010,-3.0,-1.0
11,01011,-3.0,-3.0
12,01100,-1.0,3.0
13,01101,-1.0,1.0
14,01110,-1.0,-1.0
15,01111,-1.0,-3.0
16,10000,1.0,3.0
17,10001,1.0,1.0
18,10010,1.0,-1.0
19,10011,1.0,-3.0
20,10100,3.0,3.0
21,10101,3.0,1.0
22,10110,3.0,-1.0
23,10111,3.0,-3.0
24,11000,5.0,3.0
25,11001,5.0,1.0
26,11010,5.0,-1.0
27,11011,5.0,-3.0
28,11100,3.0,5.0
29,11101,1.0,5.0
30,11110,1.0,-5.0
31,11111,3.0,-5.0
