s,bin,real,imag
0,00000000,-255.0,0.0
1,00000001,-253.0,0.0
2,00000010,-251.0,0.0
3,00000011,-249.0,0.0
4,00000100,-247.0,0.0
5,00000101,-245.0,0.0
6,00000110,-243.0,0.0
7,00000111,-241.0,0.0
8,00001000,-239.0,0.0
9,00001001,-237.0,0.0
10,00001010,-235.0,0.0
11,00001011,-233.0,0.0
12,00001100,-231.0,0.0
13,00001101,-229.0,0.0
14,00001110,-227.0,0.0
15,00001111,-225.0,0.0
16,00010000,-223.0,0.0
17,00010001,-221.0,0.0
18,00010010,-219.0,0.0
19,00010011,-217.0,0.0
20,00010100,-215.0,0.0
21,00010101,-213.0,0.0
22,00010110,-211.0,0.0
23,00010111,-209.0,0.0
24,00011000,-207.0,0.0
25,00011001,-205.0,0.0
26,00011010,-203.0,0.0
27,00011011,-201.0,0.0
28,00011100,-199.0,0.0
29,00011101,-197.0,0.0
30,00011110,-195.0,0.0
31,00011111,-193.0,0.0
32,00100000,-191.0,0.0
33,00100001,-189.0,0.0
34,00100010,-187.0,0.0
35,00100011,-185.0,0.0
36,00100100,-183.0,0.0
37,00100101,-181.0,0.0
38,00100110,-179.0,0.0
39,00100111,-177.0,0.0
40,00101000,-175.0,0.0
41,00101001,-173.0,0.0
42,00101010,-171.0,0.0
43,00101011,-169.0,0.0
44,00101100,-167.0,0.0
45,00101101,-165.0,0.0
46,00101110,-163.0,0.0
47,00101111,-161.0,0.0
48,00110000,-159.0,0.0
49,00110001,-157.0,0.0
50,00110010,-155.0,0.0
51,00110011,-153.0,0.0
52,00110100,-151.0,0.0
53,00110101,-149.0,0.0
54,00110110,-147.0,0.0
55,00110111,-145.0,0.0
56,00111000,-143.0,0.0
57,00111001,-141.0,0.0
58,00111010,-139.0,0.0
59,00111011,-137.0,0.0
60,00111100,-135.0,0.0
61,00111101,-133.0,0.0
62,00111110,-131.0,0.0
63,00111111,-129.0,0.0
64,01000000,-127.0,0.0
65,01000001,-125.0,0.0
66,01000010,-123.0,0.0
67,01000011,-121.0,0.0
68,01000100,-119.0,0.0
69,01000101,-117.0,0.0
70,01000110,-115.0,0.0
71,01000111,-113.0,0.0
72,01001000,-111.0,0.0
73,01001001,-109.0,0.0
74,01001010,-107.0,0.0
75,01001011,-105.0,0.0
76,01001100,-103.0,0.0
77,01001101,-101.0,0.0
78,01001110,-99.0,0.0
79,01001111,-97.0,0.0
80,01010000,-95.0,0.0
81,01010001,-93.0,0.0
82,01010010,-91.0,0.0
83,01010011,-89.0,0.0
84,01010100,-87.0,0.0
85,01010101,-85.0,0.0
86,01010110,-83.0,0.0
87,01010111,-81.0,0.0
88,01011000,-79.0,0.0
89,01011001,-77.0,0.0
90,01011010,-75.0,0.0
91,01011011,-73.0,0.0
92,01011100,-71.0,0.0
93,01011101,-69.0,0.0
94,01011110,-67.0,0.0
95,01011111,-65.0,0.0
96,01100000,-63.0,0.0
97,01100001,-61.0,0.0
98,01100010,-59.0,0.0
99,01100011,-57.0,0.0
100,01100100,-55.0,0.0
101,01100101,-53.0,0.0
102,01100110,-51.0,0.0
103,01100111,-49.0,0.0
104,01101000,-47.0,0.0
105,01101001,-45.0,0.0
106,01101010,-43.0,0.0
107,01101011,-41.0,0.0
108,01101100,-39.0,0.0
109,01101101,-37.0,0.0
110,01101110,-35.0,0.0
111,01101111,-33.0,0.0
112,01110000,-31.0,0.0
113,01110001,-29.0,0.0
114,01110010,-27.0,0.0
115,01110011,-25.0,0.0
116,01110100,-23.0,0.0
117,01110101,-21.0,0.0
118,01110110,-19.0,0.0
119,01110111,-17.0,0.0
120,01111000,-15.0,0.0
121,01111001,-13.0,0.0
122,01111010,-11.0,0.0
123,01111011,-9.0,0.0
124,01111100,-7.0,0.0
125,01111101,-5.0,0.0
126,01111110,-3.0,0.0
127,01111111,-1.0,0.0
128,10000000,1.0,0.0
129,10000001,3.0,0.0
130,10000010,5.0,0.0
131,10000011,7.0,0.0
132,10000100,9.0,0.0
133,10000101,11.0,0.0
134,10000110,13.0,0.0
135,10000111,15.0,0.0
136,10001000,17.0,0.0
137,10001001,19.0,0.0
138,10001010,21.0,0.0
139,10001011,23.0,0.0
140,10001100,25.0,0.0
141,10001101,27.0,0.0
142,10001110,29.0,0.0
143,10001111,31.0,0.0
144,10010000,33.0,0.0
145,10010001,35.0,0.0
146,10010010,37.0,0.0
147,10010011,39.0,0.0
148,10010100,41.0,0.0
149,10010101,43.0,0.0
150,10010110,45.0,0.0
151,10010111,47.0,0.0
152,10011000,49.0,0.0
153,10011001,51.0,0.0
154,10011010,53.0,0.0
155,10011011,55.0,0.0
156,10011100,57.0,0.0
157,10011101,59.0,0.0
158,10011110,61.0,0.0
159,10011111,63.0,0.0
160,10100000,65.0,0.0
161,10100001,67.0,0.0
162,10100010,69.0,0.0
163,10100011,71.0,0.0
164,10100100,73.0,0.0
165,10100101,75.0,0.0
166,10100110,77.0,0.0
167,10100111,79.0,0.0
168,10101000,81.0,0.0
169,10101001,83.0,0.0
170,10101010,85.0,0.0
171,10101011,87.0,0.0
172,10101100,89.0,0.0
173,10101101,91.0,0.0
174,10101110,93.0,0.0
175,10101111,95.0,0.0
176,10110000,97.0,0.0
177,10110001,99.0,0.0
178,10110010,101.0,0.0
179,10110011,103.0,0.0
180,10110100,105.0,0.0
181,10110101,107.0,0.0
182,10110110,109.0,0.0
183,10110111,111.0,0.0
184,10111000,113.0,0.0
185,10111001,115.0,0.0
186,10111010,117.0,0.0
187,10111011,119.0,0.0
188,10111100,121.0,0.0
189,10111101,123.0,0.0
190,10111110,125.0,0.0
191,10111111,127.0,0.0
192,11000000,129.0,0.0
193,11000001,131.0,0.0
194,11000010,133.0,0.0
195,11000011,135.0,0.0
196,11000100,137.0,0.0
