s,bin,real,imag
197,11000101,139.0,0.0
198,11000110,141.0,0.0
199,11000111,143.0,0.0
200,11001000,145.0,0.0
201,11001001,147.0,0.0
202,11001010,149.0,0.0
203,11001011,151.0,0.0
204,11001100,153.0,0.0
205,11001101,155.0,0.0
206,11001110,157.0,0.0
207,11001111,159.0,0.0
208,11010000,161.0,0.0
209,11010001,163.0,0.0
210,11010010,165.0,0.0
211,11010011,167.0,0.0
212,11010100,169.0,0.0
213,11010101,171.0,0.0
214,11010110,173.0,0.0
215,11010111,175.0,0.0
216,11011000,177.0,0.0
217,11011001,179.0,0.0
218,11011010,181.0,0.0
219,11011011,183.0,0.0
220,11011100,185.0,0.0
221,11011101,187.0,0.0
222,11011110,189.0,0.0
223,11011111,191.0,0.0
224,11100000,193.0,0.0
225,11100001,195.0,0.0
226,11100010,197.0,0.0
227,11100011,199.0,0.0
228,11100100,201.0,0.0
229,11100101,203.0,0.0
230,11100110,205.0,0.0
231,11100111,207.0,0.0
232,11101000,209.0,0.0
233,11101001,211.0,0.0
234,11101010,213.0,0.0
235,11101011,215.0,0.0
236,11101100,217.0,0.0
237,11101101,219.0,0.0
238,11101110,221.0,0.0
239,11101111,223.0,0.0
240,11110000,225.0,0.0
241,11110001,227.0,0.0
242,11110010,229.0,0.0
243,11110011,231.0,0.0
244,11110100,233.0,0.0
245,11110101,235.0,0.0
246,11110110,237.0,0.0
247,11110111,239.0,0.0
248,11111000,241.0,0.0
249,11111001,243.0,0.0
250,11111010,245.0,0.0
251,11111011,247.0,0.0
252,11111100,249.0,0.0
253,11111101,251.0,0.0
254,11111110,253.0,0.0
255,11111111,255.0,0.0
