s,bin,real,imag
0,00000,-31.0,0.0
1,00001,-29.0,0.0
2,00010,-27.0,0.0
3,00011,-25.0,0.0
4,00100,-23.0,0.0
5,00101,-21.0,0.0
6,00110,-19.0,0.0
7,00111,-17.0,0.0
8,01000,-15.0,0.0
9,01001,-13.0,0.0
10,01010,-11.0,0.0
11,01011,-9.0,0.0
12,01100,-7.0,0.0
13,01101,-5.0,0.0
14,01110,-3.0,0.0
15,01111,-1.0,0.0
16,10000,1.0,0.0
17,10001,3.0,0.0
18,10010,5.0,0.0
19,10011,7.0,0.0
20,10100,9.0,0.0
21,10101,11.0,0.0
22,10110,13.0,0.0
23,10111,15.0,0.0
24,11000,17.0,0.0
25,11001,19.0,0.0
26,11010,21.0,0.0
27,11011,23.0,0.0
28,11100,25.0,0.0
29,11101,27.0,0.0
30,11110,29.0,0.0
31,11111,31.0,0.0
