s,bin,real,imag
0,0000,-3.0,3.0
1,0001,-3.0,1.0
2,0010,-3.0,-1.0
3,0011,-3.0,-3.0
4,0100,-1.0,3.0
5,0101,-1.0,1.0
6,0110,-1.0,-1.0
7,0111,-1.0,-3.0
8,1000,1.0,3.0
9,1001,1.0,1.0
10,1010,1.0,-1.0
11,1011,1.0,-3.0
12,1100,3.0,3.0
13,1101,3.0,1.0
14,1110,3.0,-1.0
15,1111,3.0,-3.0
