s,real,imag
0,-127.0,0.0
1,-125.0,0.0
2,-121.0,0.0
3,-123.0,0.0
4,-113.0,0.0
5,-115.0,0.0
6,-119.0,0.0
7,-117.0,0.0
8,-97.0,0.0
9,-99.0,0.0
10,-103.0,0.0
11,-101.0,0.0
12,-111.0,0.0
13,-109.0,0.0
14,-105.0,0.0
15,-107.0,0.0
16,-65.0,0.0
17,-67.0,0.0
18,-71.0,0.0
19,-69.0,0.0
20,-79.0,0.0
21,-77.0,0.0
22,-73.0,0.0
23,-75.0,0.0
24,-95.0,0.0
25,-93.0,0.0
26,-89.0,0.0
27,-91.0,0.0
28,-81.0,0.0
29,-83.0,0.0
30,-87.0,0.0
31,-85.0,0.0
32,-1.0,0.0
33,-3.0,0.0
34,-7.0,0.0
35,-5.0,0.0
36,-15.0,0.0
37,-13.0,0.0
38,-9.0,0.0
39,-11.0,0.0
40,-31.0,0.0
41,-29.0,0.0
42,-25.0,0.0
43,-27.0,0.0
44,-17.0,0.0
45,-19.0,0.0
46,-23.0,0.0
47,-21.0,0.0
48,-63.0,0.0
49,-61.0,0.0
50,-57.0,0.0
51,-59.0,0.0
52,-49.0,0.0
53,-51.0,0.0
54,-55.0,0.0
55,-53.0,0.0
56,-33.0,0.0
57,-35.0,0.0
58,-39.0,0.0
59,-37.0,0.0
60,-47.0,0.0
61,-45.0,0.0
62,-41.0,0.0
63,-43.0,0.0
64,127.0,0.0
65,125.0,0.0
66,121.0,0.0
67,123.0,0.0
68,113.0,0.0
69,115.0,0.0
70,119.0,0.0
71,117.0,0.0
72,97.0,0.0
73,99.0,0.0
74,103.0,0.0
75,101.0,0.0
76,111.0,0.0
77,109.0,0.0
78,105.0,0.0
79,107.0,0.0
80,65.0,0.0
81,67.0,0.0
82,71.0,0.0
83,69.0,0.0
84,79.0,0.0
85,77.0,0.0
86,73.0,0.0
87,75.0,0.0
88,95.0,0.0
89,93.0,0.0
90,89.0,0.0
91,91.0,0.0
92,81.0,0.0
93,83.0,0.0
94,87.0,0.0
95,85.0,0.0
96,1.0,0.0
97,3.0,0.0
98,7.0,0.0
99,5.0,0.0
100,15.0,0.0
101,13.0,0.0
102,9.0,0.0
103,11.0,0.0
104,31.0,0.0
105,29.0,0.0
106,25.0,0.0
107,27.0,0.0
108,17.0,0.0
109,19.0,0.0
110,23.0,0.0
111,21.0,0.0
112,63.0,0.0
113,61.0,0.0
114,57.0,0.0
115,59.0,0.0
116,49.0,0.0
117,51.0,0.0
118,55.0,0.0
119,53.0,0.0
120,33.0,0.0
121,35.0,0.0
122,39.0,0.0
123,37.0,0.0
124,47.0,0.0
125,45.0,0.0
126,41.0,0.0
127,43.0,0.0
