s,bin,real,imag
0,0000000,-7.0,9.0
1,0000001,-7.0,11.0
2,0000010,-1.0,11.0
3,0000011,-1.0,9.0
4,0000100,-1.0,-9.0
5,0000101,-1.0,-11.0
6,0000110,-7.0,-11.0
7,0000111,-7.0,-9.0
8,0001000,-5.0,9.0
9,0001001,-5.0,11.0
10,0001010,-3.0,11.0
11,0001011,-3.0,9.0
12,0001100,-3.0,-9.0
13,0001101,-3.0,-11.0
14,0001110,-5.0,-11.0
15,0001111,-5.0,-9.0
16,0010000,-11.0,7.0
17,0010001,-11.0,5.0
18,0010010,-11.0,3.0
19,0010011,-11.0,1.0
20,0010100,-11.0,-1.0
21,0010101,-11.0,-3.0
22,0010110,-11.0,-5.0
23,0010111,-11.0,-7.0
24,0011000,-9.0,7.0
25,0011001,-9.0,5.0
26,0011010,-9.0,3.0
27,0011011,-9.0,1.0
28,0011100,-9.0,-1.0
29,0011101,-9.0,-3.0
30,0011110,-9.0,-5.0
31,0011111,-9.0,-7.0
32,0100000,-7.0,7.0
33,0100001,-7.0,5.0
34,0100010,-7.0,3.0
35,0100011,-7.0,1.0
36,0100100,-7.0,-1.0
37,0100101,-7.0,-3.0
38,0100110,-7.0,-5.0
39,0100111,-7.0,-7.0
40,0101000,-5.0,7.0
41,0101001,-5.0,5.0
42,0101010,-5.0,3.0
43,0101011,-5.0,1.0
44,0101100,-5.0,-1.0
45,0101101,-5.0,-3.0
46,0101110,-5.0,-5.0
47,0101111,-5.0,-7.0
48,0110000,-3.0,7.0
49,0110001,-3.0,5.0
50,0110010,-3.0,3.0
51,0110011,-3.0,1.0
52,0110100,-3.0,-1.0
53,0110101,-3.0,-3.0
54,0110110,-3.0,-5.0
55,0110111,-3.0,-7.0
56,0111000,-1.0,7.0
57,0111001,-1.0,5.0
58,0111010,-1.0,3.0
59,0111011,-1.0,1.0
60,0111100,-1.0,-1.0
61,0111101,-1.0,-3.0
62,0111110,-1.0,-5.0
63,0111111,-1.0,-7.0
64,1000000,1.0,7.0
65,1000001,1.0,5.0
66,1000010,1.0,3.0
67,1000011,1.0,1.0
68,1000100,1.0,-1.0
69,1000101,1.0,-3.0
70,1000110,1.0,-5.0
71,1000111,1.0,-7.0
72,1001000,3.0,7.0
73,1001001,3.0,5.0
74,1001010,3.0,3.0
75,1001011,3.0,1.0
76,1001100,3.0,-1.0
77,1001101,3.0,-3.0
78,1001110,3.0,-5.0
79,1001111,3.0,-7.0
80,1010000,5.0,7.0
81,1010001,5.0,5.0
82,1010010,5.0,3.0
83,1010011,5.0,1.0
84,1010100,5.0,-1.0
85,1010101,5.0,-3.0
86,1010110,5.0,-5.0
87,1010111,5.0,-7.0
88,1011000,7.0,7.0
89,1011001,7.0,5.0
90,1011010,7.0,3.0
91,1011011,7.0,1.0
92,1011100,7.0,-1.0
93,1011101,7.0,-3.0
94,1011110,7.0,-5.0
95,1011111,7.0,-7.0
96,1100000,9.0,7.0
97,1100001,9.0,5.0
98,1100010,9.0,3.0
99,1100011,9.0,1.0
100,1100100,9.0,-1.0
101,1100101,9.0,-3.0
102,1100110,9.0,-5.0
103,1100111,9.0,-7.0
104,1101000,11.0,7.0
105,1101001,11.0,5.0
106,1101010,11.0,3.0
107,1101011,11.0,1.0
108,1101100,11.0,-1.0
109,1101101,11.0,-3.0
110,1101110,11.0,-5.0
111,1101111,11.0,-7.0
112,1110000,5.0,9.0
113,1110001,5.0,11.0
114,1110010,3.0,11.0
115,1110011,3.0,9.0
116,1110100,3.0,-9.0
117,1110101,3.0,-11.0
118,1110110,5.0,-11.0
119,1110111,5.0,-9.0
120,1111000,7.0,9.0
121,1111001,7.0,11.0
122,1111010,1.0,11.0
123,1111011,1.0,9.0
124,1111100,1.0,-9.0
125,1111101,1.0,-11.0
126,1111110,7.0,-11.0
127,1111111,7.0,-9.0
