s,real,imag
0,1.0,0.0
1,0.999699,0.024541
2,0.99729,0.073565
3,0.998795,0.049068
4,0.985278,0.170962
5,0.989177,0.14673
6,0.995185,0.098017
7,0.99248,0.122411
8,0.932993,0.359895
9,0.941544,0.33689
10,0.95694,0.290285
11,0.949528,0.313682
12,0.980785,0.19509
13,0.975702,0.219101
14,0.963776,0.266713
15,0.970031,0.24298
16,0.724247,0.689541
17,0.740951,0.671559
18,0.77301,0.634393
19,0.757209,0.653173
20,0.83147,0.55557
21,0.817585,0.575808
22,0.788346,0.615232
23,0.803208,0.595699
24,0.92388,0.382683
25,0.91421,0.405241
26,0.893224,0.449611
27,0.903989,0.427555
28,0.844854,0.534998
29,0.857729,0.514103
30,0.881921,0.471397
31,0.870087,0.492898
32,0.024541,0.999699
33,0.049068,0.998795
34,0.098017,0.995185
35,0.073565,0.99729
36,0.19509,0.980785
37,0.170962,0.985278
38,0.122411,0.99248
39,0.14673,0.989177
40,0.382683,0.92388
41,0.359895,0.932993
42,0.313682,0.949528
43,0.33689,0.941544
44,0.219101,0.975702
45,0.24298,0.970031
46,0.290285,0.95694
47,0.266713,0.963776
48,0.707107,0.707107
49,0.689541,0.724247
50,0.653173,0.757209
51,0.671559,0.740951
52,0.575808,0.817585
53,0.595699,0.803208
54,0.634393,0.77301
55,0.615232,0.788346
56,0.405241,0.91421
57,0.427555,0.903989
58,0.471397,0.881921
59,0.449611,0.893224
60,0.55557,0.83147
61,0.534998,0.844854
62,0.492898,0.870087
63,0.514103,0.857729
64,-0.999699,0.024541
65,-0.998795,0.049068
66,-0.995185,0.098017
67,-0.99729,0.073565
68,-0.980785,0.19509
69,-0.985278,0.170962
70,-0.99248,0.122411
71,-0.989177,0.14673
72,-0.92388,0.382683
73,-0.932993,0.359895
74,-0.949528,0.313682
75,-0.941544,0.33689
76,-0.975702,0.219101
77,-0.970031,0.24298
78,-0.95694,0.290285
79,-0.963776,0.266713
80,-0.707107,0.707107
81,-0.724247,0.689541
82,-0.757209,0.653173
83,-0.740951,0.671559
84,-0.817585,0.575808
85,-0.803208,0.595699
86,-0.77301,0.634393
87,-0.788346,0.615232
88,-0.91421,0.405241
89,-0.903989,0.427555
90,-0.881921,0.471397
91,-0.893224,0.449611
92,-0.83147,0.55557
93,-0.844854,0.534998
94,-0.870087,0.492898
95,-0.857729,0.514103
96,0.0,1.0
97,-0.024541,0.999699
98,-0.073565,0.99729
99,-0.049068,0.998795
100,-0.170962,0.985278
101,-0.14673,0.989177
102,-0.098017,0.995185
103,-0.122411,0.99248
104,-0.359895,0.932993
105,-0.33689,0.941544
106,-0.290285,0.95694
107,-0.313682,0.949528
108,-0.19509,0.980785
109,-0.219101,0.975702
110,-0.266713,0.963776
111,-0.24298,0.970031
