s,real,imag
112,-0.689541,0.724247
113,-0.671559,0.740951
114,-0.634393,0.77301
115,-0.653173,0.757209
116,-0.55557,0.83147
117,-0.575808,0.817585
118,-0.615232,0.788346
119,-0.595699,0.803208
120,-0.382683,0.92388
121,-0.405241,0.91421
122,-0.449611,0.893224
123,-0.427555,0.903989
124,-0.534998,0.844854
125,-0.514103,0.857729
126,-0.471397,0.881921
127,-0.492898,0.870087
128,0.999699,-0.024541
129,0.998795,-0.049068
130,0.995185,-0.098017
131,0.99729,-0.073565
132,0.980785,-0.19509
133,0.985278,-0.170962
134,0.99248,-0.122411
135,0.989177,-0.14673
136,0.92388,-0.382683
137,0.932993,-0.359895
138,0.949528,-0.313682
139,0.941544,-0.33689
140,0.975702,-0.219101
141,0.970031,-0.24298
142,0.95694,-0.290285
143,0.963776,-0.266713
144,0.707107,-0.707107
145,0.724247,-0.689541
146,0.757209,-0.653173
147,0.740951,-0.671559
148,0.817585,-0.575808
149,0.803208,-0.595699
150,0.77301,-0.634393
151,0.788346,-0.615232
152,0.91421,-0.405241
153,0.903989,-0.427555
154,0.881921,-0.471397
155,0.893224,-0.449611
156,0.83147,-0.55557
157,0.844854,-0.534998
158,0.870087,-0.492898
159,0.857729,-0.514103
160,-0.0,-1.0
161,0.024541,-0.999699
162,0.073565,-0.99729
163,0.049068,-0.998795
164,0.170962,-0.985278
165,0.14673,-0.989177
166,0.098017,-0.995185
167,0.122411,-0.99248
168,0.359895,-0.932993
169,0.33689,-0.941544
170,0.290285,-0.95694
171,0.313682,-0.949528
172,0.19509,-0.980785
173,0.219101,-0.975702
174,0.266713,-0.963776
175,0.24298,-0.970031
176,0.689541,-0.724247
177,0.671559,-0.740951
178,0.634393,-0.77301
179,0.653173,-0.757209
180,0.55557,-0.83147
181,0.575808,-0.817585
182,0.615232,-0.788346
183,0.595699,-0.803208
184,0.382683,-0.92388
185,0.405241,-0.91421
186,0.449611,-0.893224
187,0.427555,-0.903989
188,0.534998,-0.844854
189,0.514103,-0.857729
190,0.471397,-0.881921
191,0.492898,-0.870087
192,-1.0,0.0
193,-0.999699,-0.024541
194,-0.99729,-0.073565
195,-0.998795,-0.049068
196,-0.985278,-0.170962
197,-0.989177,-0.14673
198,-0.995185,-0.098017
199,-0.99248,-0.122411
200,-0.932993,-0.359895
201,-0.941544,-0.33689
202,-0.95694,-0.290285
203,-0.949528,-0.313682
204,-0.980785,-0.19509
205,-0.975702,-0.219101
206,-0.963776,-0.266713
207,-0.970031,-0.24298
208,-0.724247,-0.689541
209,-0.740951,-0.671559
210,-0.77301,-0.634393
211,-0.757209,-0.653173
212,-0.83147,-0.55557
213,-0.817585,-0.575808
214,-0.788346,-0.615232
215,-0.803208,-0.595699
216,-0.92388,-0.382683
217,-0.91421,-0.405241
218,-0.893224,-0.449611
219,-0.903989,-0.427555
220,-0.844854,-0.534998
221,-0.857729,-0.514103
222,-0.881921,-0.471397
223,-0.870087,-0.492898
224,-0.024541,-0.999699
225,-0.049068,-0.998795
226,-0.098017,-0.995185
227,-0.073565,-0.99729
228,-0.19509,-0.980785
229,-0.170962,-0.985278
230,-0.122411,-0.99248
231,-0.14673,-0.989177
232,-0.382683,-0.92388
233,-0.359895,-0.932993
234,-0.313682,-0.949528
235,-0.33689,-0.941544
236,-0.219101,-0.975702
237,-0.24298,-0.970031
238,-0.290285,-0.95694
239,-0.266713,-0.963776
240,-0.707107,-0.707107
241,-0.689541,-0.724247
242,-0.653173,-0.757209
243,-0.671559,-0.740951
244,-0.575808,-0.817585
245,-0.595699,-0.803208
246,-0.634393,-0.77301
247,-0.615232,-0.788346
248,-0.405241,-0.91421
249,-0.427555,-0.903989
250,-0.471397,-0.881921
251,-0.449611,-0.893224
252,-0.55557,-0.83147
253,-0.534998,-0.844854
254,-0.492898,-0.870087
255,-0.514103,-0.857729
