s,real,imag
0,1.0,0.0
1,0.995185,0.098017
2,0.95694,0.290285
3,0.980785,0.19509
4,0.77301,0.634393
5,0.83147,0.55557
6,0.92388,0.382683
7,0.881921,0.471397
8,0.098017,0.995185
9,0.19509,0.980785
10,0.382683,0.92388
11,0.290285,0.95694
12,0.707107,0.707107
13,0.634393,0.77301
14,0.471397,0.881921
15,0.55557,0.83147
16,-0.995185,0.098017
17,-0.980785,0.19509
18,-0.92388,0.382683
19,-0.95694,0.290285
20,-0.707107,0.707107
21,-0.77301,0.634393
22,-0.881921,0.471397
23,-0.83147,0.55557
24,0.0,1.0
25,-0.098017,0.995185
26,-0.290285,0.95694
27,-0.19509,0.980785
28,-0.634393,0.77301
29,-0.55557,0.83147
30,-0.382683,0.92388
31,-0.471397,0.881921
32,0.995185,-0.098017
33,0.980785,-0.19509
34,0.92388,-0.382683
35,0.95694,-0.290285
36,0.707107,-0.707107
37,0.77301,-0.634393
38,0.881921,-0.471397
39,0.83147,-0.55557
40,-0.0,-1.0
41,0.098017,-0.995185
42,0.290285,-0.95694
43,0.19509,-0.980785
44,0.634393,-0.77301
45,0.55557,-0.83147
46,0.382683,-0.92388
47,0.471397,-0.881921
48,-1.0,0.0
49,-0.995185,-0.098017
50,-0.95694,-0.290285
51,-0.980785,-0.19509
52,-0.77301,-0.634393
53,-0.83147,-0.55557
54,-0.92388,-0.382683
55,-0.881921,-0.471397
56,-0.098017,-0.995185
57,-0.19509,-0.980785
58,-0.382683,-0.92388
59,-0.290285,-0.95694
60,-0.707107,-0.707107
61,-0.634393,-0.77301
62,-0.471397,-0.881921
63,-0.55557,-0.83147
