s,bin,real,imag
0,000000,1.0,0.0
1,000001,0.995185,0.098017
2,000010,0.980785,0.19509
3,000011,0.95694,0.290285
4,000100,0.92388,0.382683
5,000101,0.881921,0.471397
6,000110,0.83147,0.55557
7,000111,0.77301,0.634393
8,001000,0.707107,0.707107
9,001001,0.634393,0.77301
10,001010,0.55557,0.83147
11,001011,0.471397,0.881921
12,001100,0.382683,0.92388
13,001101,0.290285,0.95694
14,001110,0.19509,0.980785
15,001111,0.098017,0.995185
16,010000,0.0,1.0
17,010001,-0.098017,0.995185
18,010010,-0.19509,0.980785
19,010011,-0.290285,0.95694
20,010100,-0.382683,0.92388
21,010101,-0.471397,0.881921
22,010110,-0.55557,0.83147
23,010111,-0.634393,0.77301
24,011000,-0.707107,0.707107
25,011001,-0.77301,0.634393
26,011010,-0.83147,0.55557
27,011011,-0.881921,0.471397
28,011100,-0.92388,0.382683
29,011101,-0.95694,0.290285
30,011110,-0.980785,0.19509
31,011111,-0.995185,0.098017
32,100000,-1.0,0.0
33,100001,-0.995185,-0.098017
34,100010,-0.980785,-0.19509
35,100011,-0.95694,-0.290285
36,100100,-0.92388,-0.382683
37,100101,-0.881921,-0.471397
38,100110,-0.83147,-0.55557
39,100111,-0.77301,-0.634393
40,101000,-0.707107,-0.707107
41,101001,-0.634393,-0.77301
42,101010,-0.55557,-0.83147
43,101011,-0.471397,-0.881921
44,101100,-0.382683,-0.92388
45,101101,-0.290285,-0.95694
46,101110,-0.19509,-0.980785
47,101111,-0.098017,-0.995185
48,110000,-0.0,-1.0
49,110001,0.098017,-0.995185
50,110010,0.19509,-0.980785
51,110011,0.290285,-0.95694
52,110100,0.382683,-0.92388
53,110101,0.471397,-0.881921
54,110110,0.55557,-0.83147
55,110111,0.634393,-0.77301
56,111000,0.707107,-0.707107
57,111001,0.77301,-0.634393
58,111010,0.83147,-0.55557
59,111011,0.881921,-0.471397
60,111100,0.92388,-0.382683
61,111101,0.95694,-0.290285
62,111110,0.980785,-0.19509
63,111111,0.995185,-0.098017
